ID,Product Name,Location,Owner (Ethereum Address),Timestamp
1,Coffee Beans,Pharmacy X,0x6084a0da0fdc39b2912efc0d76053b8a94c47be8,1743616295
2,Refrigerator,Storage Facility,0xe886582737605af37aecf7b3fbfa6592e6e67765,1743617295
3,Shoes,Airport Hub,0x9a2093375921b3e3a2b0a3ad88b6baa6834cfde3,1743618295
4,Coffee Beans,Shipping Dock,0x3ca90c4348b318e3700a7264bffede0fdfb4cc1c,1743619295
5,Laptop,Pharmacy X,0x2afed373ee8e59d10a99bdcafd7b4d1043ba0409,1743620295
6,Medicine Box,Pharmacy X,0x1ef6d11e682fa13da1b75f8638607e4ba992159f,1743621295
7,Tablet,Shipping Dock,0x8aa6eb0c7b38d1014a50dadb9b1b01db5ae3f5a2,1743622295
8,Headphones,Retail Store Z,0x34100b8d9912ab59c35f546ea35f8df046775561,1743623295
9,Laptop,Storage Facility,0xfe54ebae4dcad68d46b1ec3a76e5480cece80724,1743624295
10,TV,Pharmacy X,0x16f00b022d3d541a28958f8f5622c25a5fe33758,1743625295
11,Shoes,Warehouse C,0xd78bd23e21a143a4df5ee48ae5ed3e5a8f368c38,1743626295
12,Coffee Beans,Retail Store Y,0x04082379c8ccc7e59201a0b4e9047259e94d3227,1743627295
13,Headphones,Pharmacy X,0x4854c3dc6ca5d632d98c1cf37a1681507e1f14a3,1743628295
14,Headphones,Pharmacy X,0x6d988ade7f4280c117156e08823f2ed18f560dcd,1743629295
15,Medicine Box,Shipping Dock,0x211de9dde1aefdb1d23c91cbc3ed8ad98667267c,1743630295
16,Shoes,Retail Store Z,0x7bf3e50f713af61d947f99fa6168b8b85fde9ba5,1743631295
17,Shoes,Retail Store Z,0x9a8808e8e0d98904921facf9c8bef2ae3b1ae8ca,1743632295
18,Laptop,Retail Store Z,0x0b64f8c79d934d948df46ccb74ce2028d98380da,1743633295
19,Smartwatch,Warehouse C,0xc29c840dd82b042ba26f1ce05b3b2472129989e7,1743634295
20,Shoes,Retail Store Z,0xfb2b946647e0b20302f3a38af09439a168b27d52,1743635295
21,Headphones,Warehouse A,0x00d5673a1ecbd21be2708f0a27f4b6edf8b6be73,1743636295
22,Tablet,Retail Store Y,0x49d6888ee8fe76ba3edba1a89a9dcbfce441f4cf,1743637295
23,Headphones,Warehouse C,0x3a1ab2c6228fbc531920ac037b9814d97c5aa01e,1743638295
24,Refrigerator,Factory B,0x234003a5d9c74f59a8e3c37912d6a32ac9eb9231,1743639295
